Study_Hours,Attendance,Previous_Marks,Assignment,Final_Score
3.7,81,92,98,76.4
9.5,85,57,57,72.7
7.3,99,88,69,86.5
6.0,86,50,81,75.0
1.6,97,71,95,73.6
1.6,63,98,97,72.5
0.6,76,46,92,62.9
8.7,68,97,68,81.4
6.0,80,36,78,68.4
7.1,95,69,98,87.6
0.2,58,69,91,60.1
9.7,87,72,97,86.2
8.3,66,80,61,73.1
2.1,68,52,68,51.6
1.8,93,61,99,75.4
1.8,53,60,85,59.8
3.0,97,46,49,57.3
5.2,60,87,59,66.1
4.3,71,64,55,54.8
2.9,53,59,45,52.0
6.1,66,93,56,72.1
1.4,57,82,45,51.1
2.9,95,80,61,69.0
3.7,83,66,57,63.1
4.6,60,35,71,55.6
7.9,80,63,67,72.9
2.0,60,85,81,64.3
5.1,87,54,49,60.5
5.9,70,42,80,62.6
0.5,95,92,61,69.6
6.1,79,95,67,76.5
1.7,59,34,54,46.0
0.7,75,40,82,52.3
9.5,76,73,68,75.5
9.7,57,98,46,71.8
8.1,88,31,89,69.9
3.0,57,69,73,61.4
1.0,57,66,71,58.0
6.8,83,78,41,71.2
4.4,65,65,65,60.8
1.2,90,99,84,79.1
5.0,62,63,50,58.5
0.3,72,87,64,64.8
9.1,61,66,58,68.0
2.6,76,89,100,79.7
6.6,71,41,59,55.8
3.1,81,61,72,70.9
5.2,98,33,56,61.1
5.5,76,62,91,74.4
1.8,51,72,69,58.8
9.7,94,38,57,69.2
7.8,82,80,71,78.8
9.4,75,49,79,73.8
8.9,77,68,84,77.3
6.0,68,52,43,58.0
9.2,92,70,71,81.7
0.9,54,73,58,57.5
2.0,82,64,42,55.8
0.5,69,52,77,56.5
3.3,79,87,67,68.9
3.9,94,77,100,85.5
2.7,57,87,77,64.3
8.3,87,86,93,88.6
3.6,66,68,45,55.4
2.8,93,57,95,76.4
5.4,50,93,79,70.6
1.4,52,91,96,71.0
8.0,95,91,56,78.6
0.7,75,55,81,58.5
9.9,80,80,95,88.4
7.7,57,79,44,67.3
2.0,92,65,58,66.2
0.1,95,55,82,72.7
8.2,57,62,81,70.6
7.1,84,97,74,83.5
7.3,88,37,61,62.7
7.7,77,95,63,84.4
0.7,100,52,49,61.4
3.6,53,99,41,59.7
1.2,65,84,67,61.2
8.6,62,72,80,71.2
6.2,69,50,76,65.6
3.3,100,51,92,68.7
0.6,54,38,56,41.0
3.1,86,63,45,61.5
3.3,69,88,100,77.1
7.3,73,55,82,68.5
6.4,85,30,98,70.6
8.9,83,34,44,61.5
4.7,94,70,78,75.1
1.2,97,92,46,68.4
7.1,83,51,71,71.2
7.6,68,97,43,71.2
5.6,66,77,60,66.4
7.7,54,95,81,78.9
4.9,74,45,71,57.6
5.2,67,82,95,74.7
4.3,99,94,57,77.8
0.3,57,93,72,69.1
1.1,76,97,53,63.0
0.3,64,92,45,58.6
6.4,94,91,50,74.9
3.1,62,100,85,81.5
5.1,65,74,59,64.9
9.1,71,81,68,73.4
2.5,69,94,97,72.0
4.1,62,31,74,54.4
7.6,69,78,55,69.8
2.3,51,51,87,57.7
0.8,84,58,46,52.2
2.9,96,64,79,77.7
1.6,68,53,98,63.5
9.3,94,59,99,85.9
8.1,86,71,75,79.8
6.3,55,100,83,77.1
8.7,63,79,83,80.3
8.0,53,100,70,73.9
1.9,71,89,81,74.1
8.9,100,59,83,85.8
5.4,88,41,82,70.4
8.1,85,78,82,85.8
9.0,83,75,86,80.2
3.2,76,72,45,61.9
1.1,56,31,68,46.0
2.3,52,83,66,60.6
4.3,96,64,82,76.8
8.2,82,81,41,75.0
8.6,51,62,95,68.4
0.1,91,80,61,63.0
5.1,65,55,98,67.5
4.2,74,91,48,60.3
2.2,64,90,50,61.8
1.2,73,55,55,58.2
3.4,64,66,84,60.8
9.4,80,59,52,67.6
3.2,63,40,93,55.6
5.2,63,82,93,75.7
7.0,55,70,99,74.7
3.6,63,34,57,48.9
9.7,66,95,92,83.8
9.6,67,42,64,63.7
2.5,69,92,72,73.8
5.0,100,54,91,79.1
3.0,66,73,49,57.2
2.8,65,43,97,60.0
0.4,89,98,69,72.8
6.1,88,88,90,85.9
5.0,81,85,88,75.2
0.5,93,81,40,64.6
2.8,58,95,72,66.5
9.1,76,97,88,86.7
2.4,95,41,54,55.7
1.4,82,97,68,75.1
4.9,59,72,41,55.1
9.9,66,35,50,54.7
2.4,98,44,92,67.5
6.7,98,71,73,75.8
7.6,85,60,91,80.3
2.4,66,82,80,64.7
7.3,67,35,58,55.9
3.7,72,62,41,54.0
6.3,83,58,87,78.2
6.3,57,50,59,57.6
5.4,62,83,80,69.6
0.9,72,85,91,71.7
8.4,69,50,70,63.0
3.2,71,84,99,78.1
1.9,96,87,92,81.2
0.4,72,93,43,62.1
5.9,90,75,68,72.5
6.8,84,51,95,70.3
0.2,52,89,69,54.8
5.1,83,40,52,52.8
2.3,82,76,54,64.3
6.5,95,60,59,76.7
1.7,66,47,73,53.6
6.9,94,51,67,68.9
3.9,68,85,59,66.3
9.4,79,46,89,71.4
1.4,72,67,64,55.9
3.4,64,54,66,55.1
1.1,63,61,69,55.5
9.2,51,44,95,71.7
8.8,88,42,80,70.7
2.6,98,87,59,74.7
6.6,67,79,40,59.6
8.2,55,40,74,61.3
5.6,81,42,94,66.5
5.3,70,79,88,71.3
2.4,89,67,82,67.8
0.9,77,30,63,47.3
9.0,76,68,64,69.2
9.0,51,56,79,66.2
6.3,82,65,92,73.3
3.4,65,61,51,57.6
3.5,88,70,50,63.6
7.3,71,44,69,59.9
9.0,92,60,99,81.8
8.9,96,35,52,62.6
7.8,62,81,86,76.2
6.4,51,51,64,54.6
0.8,63,60,91,64.2
1.6,87,75,64,60.1
9.0,90,96,56,86.8
6.1,77,72,51,64.5
0.1,56,30,98,55.2
1.0,67,73,90,66.4
6.6,90,86,91,89.1
0.1,85,38,50,49.2
1.6,90,34,49,51.4
5.5,85,38,56,56.3
6.9,93,74,99,85.0
6.5,53,53,93,61.8
2.2,79,71,84,69.9
7.1,73,51,55,62.1
2.4,69,89,91,73.3
3.3,95,66,59,71.6
7.5,80,68,88,79.1
6.5,73,82,44,64.5
8.5,56,57,80,68.3
6.6,75,44,93,71.7
5.7,62,89,95,70.4
0.9,57,89,71,59.7
3.7,54,35,66,47.3
2.7,93,81,43,64.5
2.4,62,41,80,56.5
9.7,78,48,87,71.5
3.9,69,31,46,44.4
8.9,63,84,85,79.4
6.3,81,44,53,59.5
7.9,99,93,78,92.4
5.0,76,98,63,76.6
5.8,74,44,87,76.0
4.9,53,72,57,55.9
2.0,70,46,99,57.9
7.2,67,53,77,70.2
2.8,88,59,78,77.0
0.2,64,96,90,70.2
6.5,87,80,79,78.6
1.8,97,89,40,68.8
9.4,73,32,56,57.0
9.5,57,34,65,52.0
9.1,77,57,90,77.2
3.7,70,40,61,53.8
0.2,65,44,78,48.3
9.3,65,77,57,68.9
4.3,84,75,77,69.2
9.7,66,57,67,69.3
9.6,58,36,60,57.6
8.5,84,100,77,87.7
2.9,78,35,72,57.9
3.9,88,87,69,78.8
8.5,67,97,81,82.8
3.2,61,84,94,73.6
1.7,68,96,47,68.9
5.6,97,78,69,81.0
9.4,71,80,78,79.5
7.0,98,88,48,78.7
5.7,64,35,72,53.8
1.0,50,80,97,62.8
6.2,51,67,96,68.3
9.9,57,40,82,63.4
1.4,71,81,98,77.9
5.2,74,49,68,62.8
8.8,51,39,70,58.5
7.4,100,55,42,71.6
7.0,58,77,89,73.8
7.0,58,43,77,59.3
3.6,62,88,50,63.7
2.9,55,41,44,45.4
8.1,79,52,70,73.1
8.1,64,68,59,62.4
8.7,100,38,43,62.9
9.1,64,54,47,60.6
5.1,99,46,81,74.2
5.0,56,71,100,73.0
8.0,60,58,74,66.2
6.5,89,89,52,79.2
7.0,87,96,88,85.4
8.0,89,86,44,81.1
8.9,51,43,79,58.8
3.4,100,68,58,64.8
3.8,97,45,57,64.3
0.9,88,47,72,55.6
5.8,59,49,100,64.5
0.4,93,75,43,61.3
4.7,66,74,98,74.7
5.4,56,33,57,52.1
2.9,89,49,85,62.9
5.9,88,40,63,59.6
0.3,53,94,82,75.3
0.4,84,47,68,56.2
8.2,100,68,70,75.3
3.6,96,73,97,77.3
1.3,85,47,67,56.7
5.2,80,76,48,66.6
7.7,74,60,84,76.3
2.2,90,68,65,71.8
6.2,62,67,88,67.6
0.9,67,76,86,64.0
0.5,70,99,41,62.2
5.3,97,37,45,57.2
5.4,50,94,68,71.9
6.4,85,42,65,71.3
7.3,99,84,67,82.6
9.8,57,72,46,65.8
5.2,97,33,73,63.2
3.2,70,100,95,80.6
8.0,92,89,84,84.0
2.7,70,41,49,46.8
4.4,76,88,87,72.1
0.8,68,83,80,68.9
0.3,72,73,79,67.8
9.6,100,45,96,85.0
8.4,99,35,86,74.5
7.0,100,43,61,67.6
4.1,92,87,66,76.1
1.7,84,60,78,62.2
1.6,89,70,61,68.1
2.5,100,64,94,79.6
5.5,91,39,58,58.6
7.1,97,59,75,73.5
6.6,54,73,48,56.0
2.8,90,84,58,70.1
9.5,57,100,41,71.6
7.4,60,47,67,60.1
5.5,65,68,100,69.2
6.1,88,71,98,79.2
4.2,96,83,78,77.3
2.5,73,59,61,60.8
3.6,70,49,90,60.6
7.6,72,71,45,65.7
0.1,98,34,86,59.2
1.2,87,79,46,62.5
0.5,96,70,45,64.6
0.4,57,68,72,52.4
8.6,56,86,99,72.4
7.0,51,86,53,60.9
4.7,79,66,40,61.9
1.0,62,36,64,43.3
4.9,72,34,45,48.3
4.7,78,80,67,72.6
1.7,87,37,57,56.5
4.3,86,85,66,77.4
4.0,69,40,88,62.3
6.2,82,51,98,70.3
6.4,78,40,99,74.5
0.5,99,89,41,64.5
3.7,64,44,79,55.9
6.3,72,67,60,66.1
5.0,91,30,62,60.2
8.6,52,75,94,78.8
6.6,86,72,41,65.6
1.6,78,51,55,56.0
0.7,94,32,43,47.7
6.4,57,43,73,62.7
0.3,71,31,94,55.8
5.9,78,90,44,74.1
9.4,51,61,88,66.2
5.8,90,67,73,72.3
3.9,98,75,61,73.7
6.4,99,71,85,85.8
4.6,94,35,59,63.3
5.5,50,70,78,68.2
9.4,93,54,86,83.7
3.9,69,40,89,63.1
9.6,70,70,52,69.9
9.1,86,100,83,86.8
2.0,57,86,73,57.7
0.7,76,75,83,67.5
1.0,96,77,45,67.1
0.2,84,92,95,68.7
0.9,55,68,68,51.8
6.8,94,39,72,65.1
0.7,93,99,92,81.1
3.2,68,94,40,63.7
8.4,67,88,86,83.9
0.2,50,65,98,55.4
8.1,74,56,87,74.0
2.8,76,84,93,71.3
1.2,56,99,46,62.3
7.0,93,82,61,76.8
6.3,91,89,71,77.5
8.8,78,90,53,74.8
7.4,80,65,100,76.2
8.0,93,56,96,81.0
2.8,92,70,90,77.2
1.8,85,57,63,64.1
7.5,68,45,58,58.1
8.1,55,64,66,68.5
9.9,74,65,99,81.2
4.1,80,85,100,84.5
3.7,58,48,100,61.9
7.8,69,86,62,73.0
3.4,59,62,84,64.1
9.3,86,52,60,71.3
8.6,76,92,83,82.4
4.3,62,99,68,75.2
7.5,90,51,40,60.7
7.5,51,96,70,74.7
1.0,99,88,66,75.8
9.0,70,54,83,74.7
5.1,82,46,75,68.0
8.3,73,68,100,79.2
3.2,93,68,66,69.7
9.0,91,53,54,70.0
3.9,83,67,64,72.1
0.1,58,86,87,67.1
9.1,51,73,54,67.4
0.9,79,65,79,63.6
3.2,71,99,58,66.9
9.5,95,74,86,83.6
9.5,60,55,89,74.0
5.7,92,40,50,58.5
6.3,66,81,80,83.2
4.5,85,54,72,65.2
2.9,62,60,80,62.1
3.3,56,74,99,69.7
6.7,65,96,62,74.4
7.5,82,69,51,65.7
7.9,94,75,41,73.6
7.9,50,83,82,73.0
0.9,60,70,60,54.5
4.9,55,67,53,62.8
0.6,69,65,73,54.3
5.5,84,73,54,64.3
4.4,93,86,60,77.6
8.9,86,95,62,82.9
3.5,90,59,60,62.3
1.2,75,39,89,58.8
1.4,61,90,98,74.8
7.6,79,92,53,71.1
6.2,77,65,60,69.0
1.0,76,83,99,75.0
0.8,91,94,51,68.8
7.0,68,33,81,61.8
0.7,54,84,85,64.5
8.2,54,83,93,78.3
7.1,90,93,86,84.0
0.8,76,51,44,53.6
0.8,77,54,41,53.8
9.9,75,88,61,82.0
3.7,76,86,45,60.3
3.7,98,83,83,84.0
8.1,91,73,41,70.5
9.5,70,81,68,78.1
9.9,50,45,100,62.3
7.5,77,45,75,64.6
3.8,97,84,46,74.0
0.8,64,90,55,62.8
7.8,66,69,72,66.9
5.6,75,50,72,65.9
4.2,69,95,53,66.4
9.1,74,37,82,66.6
1.1,62,100,51,59.5
4.9,82,39,82,65.2
0.1,74,86,45,62.7
4.7,57,33,94,60.2
0.6,54,72,51,48.7
1.2,55,92,92,68.7
1.2,72,72,70,57.7
6.5,79,96,51,79.1
7.5,63,80,49,66.4
5.8,72,85,79,77.6
9.6,60,72,66,71.1
3.7,80,53,91,66.4
2.9,55,63,90,60.5
8.7,60,88,46,70.3
2.2,62,31,85,57.4
9.6,61,31,75,59.8
0.1,51,39,72,48.7
9.7,84,52,66,74.6
0.4,85,44,47,50.1
8.9,66,46,44,61.3
5.3,77,43,100,72.0
9.9,77,45,47,56.8
0.7,71,61,79,62.6
5.5,87,52,99,78.6
9.7,56,63,60,61.7
5.2,64,45,63,52.4
6.3,81,63,46,64.8
7.0,60,100,100,88.2
4.5,73,62,58,58.6
6.3,52,97,70,66.9
5.8,79,72,75,71.5
9.0,55,93,66,72.6
0.5,51,100,99,65.7
2.8,63,47,68,52.5
9.5,90,97,62,86.9
8.9,67,90,59,80.8
4.6,100,49,45,64.5
6.2,93,40,51,64.4
2.8,80,75,89,69.6
1.9,62,93,51,61.8
4.6,75,57,89,68.1
3.5,93,77,42,67.8
5.8,61,64,81,68.3
0.8,67,37,78,54.7
9.7,58,51,74,65.9
9.9,98,53,99,83.3
7.0,70,95,58,78.1
5.4,97,93,84,88.2
3.1,98,94,43,74.8
8.1,89,43,70,69.2
6.8,92,54,81,78.0
1.6,73,32,77,49.4
9.1,83,34,72,69.4
8.2,57,94,45,71.6
9.5,93,83,47,76.1
7.3,82,48,67,64.6
6.1,72,83,54,65.3
4.2,62,39,70,55.6
9.3,98,45,47,60.9
8.7,63,75,93,78.3
0.5,63,58,45,45.9
0.3,65,44,68,47.1
3.8,98,77,90,75.0
8.1,87,40,85,68.8
9.9,88,63,73,82.6
1.5,75,65,46,53.6
5.9,75,59,79,70.1
3.8,50,48,49,44.1
9.7,81,97,52,84.0
8.4,64,99,61,78.6
8.4,70,62,60,66.5
4.7,67,51,91,65.9
4.1,79,65,40,60.4
2.7,62,52,80,55.3
0.6,73,92,98,72.4
8.6,79,55,81,76.2
8.1,51,89,91,81.6
10.0,68,34,41,56.3
10.0,96,83,91,93.5
5.6,93,67,68,76.9
7.7,96,91,50,79.2
9.4,74,54,76,71.3
8.5,99,41,89,79.1
2.5,63,51,46,56.0
4.5,55,38,74,55.4
1.3,61,58,69,55.8
9.5,69,73,55,68.9
6.1,72,56,54,60.8
2.3,79,84,79,74.1
6.7,79,34,59,60.5
6.2,87,81,67,74.6
3.6,79,42,98,70.1
1.1,90,71,76,72.9
6.7,79,44,42,57.1
5.2,85,47,68,65.2
7.7,98,79,98,87.3
5.2,83,31,76,58.6
8.5,65,42,48,57.9
5.5,73,97,66,73.4
5.6,63,76,71,69.8
8.8,75,79,87,79.9
4.0,57,41,100,63.6
1.3,63,42,85,54.5
0.3,80,38,89,52.3
7.6,51,88,78,71.4
6.2,97,74,70,78.4
7.0,53,99,86,72.5
2.1,50,72,65,51.1
1.4,69,52,79,57.5
0.1,63,74,42,54.8
3.5,89,52,50,62.0
5.9,74,63,91,72.7
3.9,74,45,68,56.0
4.4,52,92,66,63.6
9.0,54,80,97,80.0
3.5,87,61,89,72.5
5.1,75,67,86,74.4
7.8,89,85,49,79.8
4.0,87,98,100,85.1
6.2,87,46,96,74.6
8.6,53,68,74,69.5
9.5,56,70,86,71.5
1.5,79,77,96,71.1
9.3,79,57,100,81.9
4.9,68,79,62,67.0
2.6,88,30,45,47.9
4.6,84,79,50,65.8
9.8,89,48,99,76.7
4.9,82,88,82,77.8
3.3,82,97,90,78.0
6.3,63,96,66,74.0
2.4,87,70,94,81.0
0.8,59,39,70,49.4
1.3,77,57,98,69.8
1.3,63,63,69,58.2
1.5,85,68,42,53.7
1.4,87,85,52,67.1
6.4,65,81,98,75.9
1.8,70,32,93,54.1
3.5,77,52,79,63.0
